DateID,Day,Month,Quarter,Year
2023-01-01,1,January,1,2023
2023-01-02,2,January,1,2023
2023-01-03,3,January,1,2023
2023-01-04,4,January,1,2023
2023-01-05,5,January,1,2023
2023-01-06,6,January,1,2023
2023-01-07,7,January,1,2023
2023-01-08,8,January,1,2023
2023-01-09,9,January,1,2023
2023-01-10,10,January,1,2023
2023-01-11,11,January,1,2023
2023-01-12,12,January,1,2023
2023-01-13,13,January,1,2023
2023-01-14,14,January,1,2023
2023-01-15,15,January,1,2023
2023-01-16,16,January,1,2023
2023-01-17,17,January,1,2023
2023-01-18,18,January,1,2023
2023-01-19,19,January,1,2023
2023-01-20,20,January,1,2023
2023-01-21,21,January,1,2023
2023-01-22,22,January,1,2023
2023-01-23,23,January,1,2023
2023-01-24,24,January,1,2023
2023-01-25,25,January,1,2023
2023-01-26,26,January,1,2023
2023-01-27,27,January,1,2023
2023-01-28,28,January,1,2023
2023-01-29,29,January,1,2023
2023-01-30,30,January,1,2023
2023-01-31,31,January,1,2023
2023-02-01,1,February,1,2023
2023-02-02,2,February,1,2023
2023-02-03,3,February,1,2023
2023-02-04,4,February,1,2023
2023-02-05,5,February,1,2023
2023-02-06,6,February,1,2023
2023-02-07,7,February,1,2023
2023-02-08,8,February,1,2023
2023-02-09,9,February,1,2023
2023-02-10,10,February,1,2023
2023-02-11,11,February,1,2023
2023-02-12,12,February,1,2023
2023-02-13,13,February,1,2023
2023-02-14,14,February,1,2023
2023-02-15,15,February,1,2023
2023-02-16,16,February,1,2023
2023-02-17,17,February,1,2023
2023-02-18,18,February,1,2023
2023-02-19,19,February,1,2023
2023-02-20,20,February,1,2023
2023-02-21,21,February,1,2023
2023-02-22,22,February,1,2023
2023-02-23,23,February,1,2023
2023-02-24,24,February,1,2023
2023-02-25,25,February,1,2023
2023-02-26,26,February,1,2023
2023-02-27,27,February,1,2023
2023-02-28,28,February,1,2023
2023-03-01,1,March,1,2023
2023-03-02,2,March,1,2023
2023-03-03,3,March,1,2023
2023-03-04,4,March,1,2023
2023-03-05,5,March,1,2023
2023-03-06,6,March,1,2023
2023-03-07,7,March,1,2023
2023-03-08,8,March,1,2023
2023-03-09,9,March,1,2023
2023-03-10,10,March,1,2023
2023-03-11,11,March,1,2023
2023-03-12,12,March,1,2023
2023-03-13,13,March,1,2023
2023-03-14,14,March,1,2023
2023-03-15,15,March,1,2023
2023-03-16,16,March,1,2023
2023-03-17,17,March,1,2023
2023-03-18,18,March,1,2023
2023-03-19,19,March,1,2023
2023-03-20,20,March,1,2023
2023-03-21,21,March,1,2023
2023-03-22,22,March,1,2023
2023-03-23,23,March,1,2023
2023-03-24,24,March,1,2023
2023-03-25,25,March,1,2023
2023-03-26,26,March,1,2023
2023-03-27,27,March,1,2023
2023-03-28,28,March,1,2023
2023-03-29,29,March,1,2023
2023-03-30,30,March,1,2023
2023-03-31,31,March,1,2023
2023-04-01,1,April,2,2023
2023-04-02,2,April,2,2023
2023-04-03,3,April,2,2023
2023-04-04,4,April,2,2023
2023-04-05,5,April,2,2023
2023-04-06,6,April,2,2023
2023-04-07,7,April,2,2023
2023-04-08,8,April,2,2023
2023-04-09,9,April,2,2023
2023-04-10,10,April,2,2023
